album	artist	genre	release_date	critic	score	body
Ten Thousand Fists	Disturbed	Rock	2005-09-20 00:00:00	Amazon.com	59.0	"The album isn't without its problems––come the halfway mark (""Sons of Plunder"") vocalist David Draiman and his mates lapse into the expected, with a series of songs that are good but rarely as remarkable as those found in Act I."
New Danger	Mos Def	Rap	2004-10-12 00:00:00	Austin Chronicle	59.0	The New Danger is as overextended as it is self-indulgent.
NYC	Kieran Hebden and Steve Reid	Indie	2008-11-18 00:00:00	The Wire	61.0	Hebden is clearly striving for dancefloor impact--but Reid's drumming is so untethered and, frankly, messy, that it sucks the explosions out of whatever bombs Hebden's trying to drop. [Dec 2008, p.60]
Hold On Now, Youngster	Los Campesinos!	Indie	2008-04-01 00:00:00	Austin Chronicle	81.0	It might be one big, saccharine, catchy fuck-you to the industry and culture, but it's really just addictive songwriting reared on Britpop pioneers who didn't prioritize reputation over substance.
Tiny Rebels [EP]	Cairo Gang	Pop/Rock	2013-07-23 00:00:00	Uncut	64.0	The Cairo Gang's superb, weighty, meticulous album still manages to pack a mighty punch. [Sep 2013, p.85]
Wavering Radiant	Isis	Rock	2009-05-05 00:00:00	No Ripcord	79.0	As snobbish as that may sound, you have to lose yourself in Wavering Radiant to hear and feel the big picture.
Sound Mirrors	Coldcut	Electronic	2006-02-21 00:00:00	Playlouder	73.0	Any number of tracks here could easily catapult them back into the consciousness of so much more than the cognoscenti.
Girls in Peacetime Want to Dance	Belle & Sebastian	Pop/Rock	2015-01-20 00:00:00	The Telegraph (UK)	76.0	Atlanta-based producer Ben H Allen (who has worked with Animal Collective and CeeLo Green) has beefed up their sound, although a taste for clean sonic lines and cheesy keyboards retains a power to grate.
45:33	LCD Soundsystem	Electronic	2007-11-13 00:00:00	The Guardian	86.0	You can hear an early, instrumental version of 'Someone Great' here, and it's pretty melody, twinkling xylophones and pulsing synths are mesmerising enough to take your mind off the pain of physical exertion.
Swings Both Ways	Robbie Williams	Pop	2013-11-18 00:00:00	alicegoldman	58.0	"Most of songs are written by the artist himself and, as usual, very personal. Playing with haters, fatherhood and other situations this soundsMost of songs are written by the artist himself and, as usual, very personal. Playing with haters, fatherhood and other situations this sounds very fun and consistent, some songs like ""Shine My Shoes"" are just brilliant. The vocals are way better than his 3 previously works too.&hellip;Full Review &raquo;"
Kala	M.I.A.	Rap	2007-08-21 00:00:00	Dot Music	87.0	Three loud cheers for her scattershot creativity, please.
Fork In The Road	Neil Young	Rock	2009-04-07 00:00:00	AllMusic	61.0	Fork in the Road is charmingly clunky, a side effect of its quick creation and Young's hard-headedness. Neil might be writing records as quickly as a blogger these days but musically he's stuck in the past, never letting go of his chunky Les Paul and candied folk harmonies.
Two Against Nature	Steely Dan	Rock	2000-02-29 00:00:00	Village Voice	77.0	The music turns Aja's fusion-pop mode jumpier and snappier, sourer and trickier and less soothing--postfunk, whether anyone will admit it or not.
The Duke & the King	The Duke & the King	Country	2011-08-16 00:00:00	AllMusic	80.0	Felice is bedeviled by an unspecified sadness and longing, and that only adds to the resonance of well-constructed songs that will appeal to triple-A radio in the U.S., now that his band finally has gotten a purchase on its homeground.
Girls Can Tell	Spoon	Indie	2001-02-20 00:00:00	Spin Cycle	85.0	Spoon is the best British band to come out of Austin, Texas.
The  Valley	Eisley	Pop/Rock	2011-03-01 00:00:00	jyo_tirmaya	71.0	This is a good album.  Being the old goth that I was I instantly fell in love with the artwork on the album,  and read a couple of criticThis is a good album.  Being the old goth that I was I instantly fell in love with the artwork on the album,  and read a couple of critic notes on the front of it, so I bought it, a good way to waste money to buy an album without hearing or knowing about a band.  But I was pleasantly surprised at how good this album is.  Nice subtle melodies, romantic lyrics and some pretty fine guitar and drums.  It's a new band I have discovered, and I am glad I did!  One of my favorites this month as far as current releases go.&hellip;Full Review &raquo;
Sound Mirrors	Coldcut	Electronic	2006-02-21 00:00:00	JC	73.0	A truly great disappointment. They have tried to innovate by moving to a more song oriented structure, but most of these songs simply do notA truly great disappointment. They have tried to innovate by moving to a more song oriented structure, but most of these songs simply do not work. The album lacks any kind of coherence, and a couple of good tracks fail to save the album from mediocrity.&hellip;Full Review &raquo;
Creatures	Elf Power	Indie	2002-05-07 00:00:00	The A.V. Club	77.0	The record is as tuneful and spirited and bordering-on-goofy as anything in the Elf Power catalog.
Black Noise	Pantha du Prince	Electronic	2010-02-09 00:00:00	No Ripcord	83.0	"Where [""The Bliss""] bubbled and spat like hot fat, its meticulous construction overflowing with polyrhythms, Black Noise seems disjointed and overlong even though it runs for roughly the same duration."
Everywhere At Once	Lyrics Born	Rap	2008-04-22 00:00:00	Under The Radar	66.0	Lyrics Born is capable of a game-changing album, but Everywhere At Once seems like a step backwards. [Spring 2008, p.85]
Geronimo!	Piney Gir	Pop/Rock	2011-10-24 00:00:00	Q Magazine	67.0	A charming little diversion from the cares of the modern world. [Dec. 2011 p. 135]
King Night	Salem	Electronic	2010-09-28 00:00:00	Clash Music	72.0	Rave horns echo like WW2 sirens being played on a fucked-up ghetto blaster while the cast of House Of 1000 Corpses do their best Gucci Mane impressions--an interesting, if perhaps slightly contrived, oddity.
The Miner's Hymns	Johann Johannsson	Electronic	2011-05-24 00:00:00	musicOMH.com	84.0	Best listened to in silence on a home stereo with cinematic projection; this is a remarkable achievement from Johannsson, and a welcome change from the string-drenched sound that has become ubiquitous in modern film scores.
April	Sun Kil Moon	Indie	2008-04-01 00:00:00	The A.V. Club	80.0	April, his third full-length under the Sun Kil Moon moniker, and the first made up of new songs since 2003, easily bears the weight of expectations, proving once again that he really does transcend any slowcore or singer-songwriter tags that have been tossed his way.
The Great Misdirect	Between the Buried and Me	Rock	2009-10-26 00:00:00	BillC	64.0	Don&#039;t ever listen to the critics when it comes to music. Although it&#039;s not as good as colors in my opinion, it&#039;s still betterDon&#039;t ever listen to the critics when it comes to music. Although it&#039;s not as good as colors in my opinion, it&#039;s still better than almost anything else. If you like Progressive/Technical metal, listen to this!&hellip;Full Review &raquo;
Femme Fatale	Britney Spears	Pop	2011-03-29 00:00:00	NOW Magazine	67.0	Less adventurous is her sex-on-the-dance-floor lyrical fixation, so it's those playful touches that set Femme Fatale apart from most cornball dance pop on the radio these days.
From A Basement On The Hill	Elliott Smith	Indie	2004-10-19 00:00:00	Billboard	88.0	Smith bundles subtlety and ferocity to create one of his heart-aching best.
Cool Choices	S	Pop/Rock	2014-09-23 00:00:00	Dusted Magazine	68.0	The emotions channeled here are wrenching, but they’re also honest, and this album’s victories feel earned.
Shady XV	Eminem	Rap	2014-11-24 00:00:00	New York Daily News (Jim Faber)	61.0	Only a few tracks, like “Guts Over Fear” (with guest vocals from Sia) bore inside the rapper to show his vulnerable side. But the snarl of the rest finds him at a peak of writerly dexterity and rhyming velocity.
The Devil, You + Me	The Notwist	Rock	2008-06-17 00:00:00	Drowned In Sound	74.0	There’s no doubting it’s a very good album. The band’s best? Probably not. A successful return from a hiatus overlong? Certainly.
Blood Red Shoes	Blood Red Shoes	Pop/Rock	2014-03-03 00:00:00	Mojo	64.0	It's breathless stuff, but can feel homogenous after a while. [Apr 2014, p.98]
Dream River	Bill Callahan	Pop/Rock	2013-09-17 00:00:00	The Independent on Sunday (UK)	84.0	Though his appeal remains frustratingly specialist, with each release it becomes clearer that Callahan is the natural successor to Leonard Cohen.
Stephen Malkmus	Stephen Malkmus	Indie	2001-02-13 00:00:00	AllMusic	82.0	No, it's not quite the same as another Pavement album, but its literate, funny eclecticism is almost as irresistible.
Ray Guns Are Not Just The Future	The Bird And The Bee	Indie	2009-01-27 00:00:00	Urb	71.0	Ray Guns Are Not Just the Future is a pop gem for the young at heart and proof that the duo possesses the serious musical talent needed bring their whimsical musical visions to life.
Punish, Honey	Vessel	Electronic	2014-09-16 00:00:00	Pitchfork	81.0	Unquestionably, Gainsborough's sonic ingenuity continues to be his greatest asset; his growth as an artist hinges on accepting that others can't always enjoy his noise as much as he does.
Prisoner of Conscious	Talib Kweli	Rap	2013-05-07 00:00:00	Q Magazine	65.0	He seems content to occupy the same '90s underground niche he's always done. [Jun 2013, p.90]
The Ganzfeld [EP]	Matmos	Pop/Rock	2012-10-16 00:00:00	AllMusic	61.0	The three songs for The Ganzfeld EP manage to go all over the map in under half-an-hour.
Angels & Devils	The Bug	Electronic	2014-08-26 00:00:00	The Quietus	83.0	An album that's otherwise remarkably deft at uniting the many aspects of Kevin Martin's musical output to date.
Heat Lightning Rumbles in the Distance	Patterson Hood	Country	2012-09-11 00:00:00	Mojo	77.0	Scratchily downbeat, this is a true artist's vision in that Hood can remove himself from the pain without stinting on the honesty. [Oct 2012, p.82]
I Look To You	Whitney Houston	Pop	2009-08-31 00:00:00	Slant Magazine	66.0	For the most part, I Look to You manages to sound completely contemporary without the use of guest rappers, dumbed-down lyrics, or slang.
Hold Time	M. Ward	Rock	2009-02-17 00:00:00	Dot Music	79.0	While its thoughtfulness prevents it from getting carried away with itself--he's not exactly doing the can-can here--there is a definite sense of optimism and personal brightness radiating from all four corners of this record. It will be a difficult one to top.
Seasons on Earth	Meg Baird	Folk	2011-09-20 00:00:00	Magnet	73.0	This compelling album is dominated by a spirit of grace and hope. [#81, p. 53]
The Con	Tegan and Sara	Indie	2007-07-24 00:00:00	Amazon.com	80.0	The Con skillfully packs its instant hooks in so tight, virtually every line becomes the one you want to sing along to--and the twins' lyrics aren't your typical pop pabulum.
Gist Is	Adult Jazz	Pop/Rock	2014-08-05 00:00:00	No Ripcord	77.0	This album is a grower.
Overexposed	Maroon 5	Pop	2012-06-26 00:00:00	Entertainment Weekly	54.0	On much of the album, which never quite finds a balance between rock grit and dance-pop glitz, Maroon 5 barely sound like a band at all.
Want Two	Rufus Wainwright	Rock	2004-11-16 00:00:00	Stylus Magazine	78.0	Certainly Want Two is the weaker and less tuneful of the siblings, strings, horns, pipes and choirs distracting attention from the occasionally dirgey and indulgent (but still grandiose) melodies.
Marry Me	St. Vincent	Indie	2007-07-10 00:00:00	PopMatters	78.0	For those who have not heard St. Vincent, the best approach is listening to her album because it’s so damn good.
The Magic Magicians	The Magic Magicians	Indie	2003-06-17 00:00:00	Alternative Press	67.0	Powerful drum beats user along the sometimes-Jack White, sometimes-Mick Jones vocals, while the guitar croons expressively throughout these low-key, lo-fi songs. [Aug 2003, p.96]
The Instigator	Rhett Miller	Rock	2002-09-24 00:00:00	Blender	70.0	Miller ups the melodic ante, staking his claim to becoming his generation's answer to Nick Lowe or Marshall Crenshaw. [#10, p.123]
Off With Their Heads	Kaiser Chiefs	Rock	2008-10-28 00:00:00	The Guardian	70.0	Off With Their Heads is more football chant schmindie, with only the briefest of diversions up Psycho Rock Avenue.
Descended Like Vultures	Rogue Wave	Indie	2005-10-25 00:00:00	Slant Magazine	72.0	If not as easy to embrace as its predecessor, the album compensates with a great deal more ambition in its scope.
My Heart Has A Wish That You Would Not Go	Aereogramme	Indie	2007-02-06 00:00:00	Drowned In Sound	70.0	Here, Aereogramme have created something more than deserving of all the praise lavished upon it.
Mermaid Avenue Vol. II	Billy Bragg & Wilco	Rock	2000-05-30 00:00:00	Q Magazine	82.0	Vol. 2 proves the equivalent of its parent release.
Sam's Town	The Killers	Rock	2006-10-03 00:00:00	Drowned In Sound	64.0	Taken as a body of work it is certainly more consistent than Hot Fuss.
Creatures of an Hour	Still Corners	Pop/Rock	2011-10-11 00:00:00	Under The Radar	78.0	In this impressive debut, Still Corners has crafted an appropriate album for the autumn season.
When The Sun Goes Down	Kenny Chesney	Country	2004-02-03 00:00:00	danettef	67.0	I feel a connection! but only I can be the one to share that, in person..reality is here but spirituality comes from from understanding!
Cannibal Sea	The Essex Green	Indie	2006-03-21 00:00:00	Under The Radar	78.0	Seems just a bit empty. [#13, p.91]
All I Intended To Be	Emmylou Harris	Country	2008-06-10 00:00:00	Entertainment Weekly	78.0	All I Intended to Be, the country legend's first album in five years features terrific, hushed versions of Patty Griffin's ''Moon Song,'' Tracy Chapman's ''All That You Have Is Your Soul,'' and Billy Joe Shaver's ''Old Five and Dimers Like Me.'' But Harris can also turn it on in the songwriting department, as she proves in ''Gold.''
The Music	The Music	Indie	2003-02-25 00:00:00	Spin	58.0	What's most British about the Music is their tendency to try way too hard. [Apr 2003, p.108]
Neon Bible	Arcade Fire	Indie	2007-03-06 00:00:00	Prefix Magazine	87.0	Some Funeral devotees may be disappointed by the more straightforward approach on Neon Bible, but their numbers will likely be easily replaced.
Blak and Blu	Gary Clark, Jr.	Pop/Rock	2012-10-22 00:00:00	Boston Globe	74.0	Blak and Blu pays off; it's not a perfect album, but it is bold and exciting.
Illmatic XX [20th Anniversary Edition]	Nas	Rap	2014-04-15 00:00:00	Consequence of Sound	89.0	As perfect as Illmatic is, there are plenty of crevices that can be explored and different musical avenues to test Nas’s verses/scriptures.
Goon	Tobias Jesso Jr.	Pop/Rock	2015-03-17 00:00:00	The 405	81.0	His debut album experiments with intense sincerity and captivating subtleties in the lyrics and melodies respectively.
Power in the Blood	Buffy Sainte-Marie	Folk	2015-05-12 00:00:00	Spin	78.0	Power in the Blood is the work of an elder working against genre, knowing history, and moving forward into aesthetically unknown territory. For a septuagenarian, the optimism of it is heartening.
Pink City	Jennifer Castle	Pop/Rock	2014-09-02 00:00:00	Blurt Magazine	85.0	Pink City is her prettiest, most cohesive work yet. It’s well-constructed enough to showcase the weirdness that crops up in her songs without making her seem like a novelty act.
Distortion	Magnetic Fields	Indie	2008-01-15 00:00:00	Boston Globe	79.0	Distortion isn't an easy listen, with its strict, difficult palette. But it's an endlessly fascinating and provocative one.
Food	Kelis	R&B;	2014-04-22 00:00:00	AllMusic	77.0	While it remains almost impossible to dissociate Kelis and early collaborators the Neptunes, it's more difficult imagining a better creative alliance--at this point in her career, at least--than the one that shines here.
Mutilator Defeated at Last	Thee Oh Sees	Pop/Rock	2015-05-26 00:00:00	The A.V. Club	82.0	While not front-to-back pummeling, Mutilator Defeated At Last is fast and hard for much of its 33 minutes.
Nebula Dance	Ital Tek	Electronic	2012-10-30 00:00:00	Resident Advisor	74.0	His third album is easily the tightest record yet. Jumping from sound to sound, Ital Tek has covered a startling amount of ground in a short time.
Happy People	Peace	Pop/Rock	2015-02-09 00:00:00	Hackskeptic	59.0	Although Britpop was summarily cremated long ago, odd British Indie/pop bands spring up with little individual charisma so they slavishlyAlthough Britpop was summarily cremated long ago, odd British Indie/pop bands spring up with little individual charisma so they slavishly regenerate tired motifs in both image and song.This second album from the Worcester/Droitwich/Birmingham combo seldom rise above providing shallow reflections of a musical era long, long gone&hellip;Full Review &raquo;
12 Memories	Travis	Rock	2003-10-14 00:00:00	Dot Music	64.0	A bitterly disappointing, lacklustre album that is sadly short of distinct memories of any kind.
Attack Decay Sustain Release	Simian Mobile Disco	Electronic	2007-09-11 00:00:00	mikes.	73.0	By far one of the freshes if not the freshest electronic album of 2007. It ranks right up there with digitalism debut. I would go as far asBy far one of the freshes if not the freshest electronic album of 2007. It ranks right up there with digitalism debut. I would go as far as to say there are more standout tracks on this album over digitalism. The only flaw of this record is that the last half is a mess. In particular its not worth listening to anything past track 7. Still a great debut that like daft punk and digitalism, they choose to use vintage gear over laptops, which in this day and age is more unique and creative than any ambient or idm out this year.&hellip;Full Review &raquo;
Tres Cabrones	Melvins	Pop/Rock	2013-11-05 00:00:00	New Musical Express (NME)	69.0	The initial feeling that this album is destined to be one of their many jokey, disposable ventures dissipates slightly as Osborne’s near-peerless ability with a brain-alteringly great riff takes hold.
The World is Yours	Ian Brown	Rock	2007-09-24 00:00:00	Uncut	58.0	More memorable for famous guests than fine tunes, The World Is Yours does not diminish Brown’s reputation, but it lacks the exotic, adventurous reach of his best work.
Herein Wild	Frankie Rose	Pop/Rock	2013-09-24 00:00:00	The New York Times	72.0	Ms. Rose’s pop confections aren’t simple escapes.
La Costa Perdida	Camper Van Beethoven	Pop/Rock	2013-01-22 00:00:00	Paste Magazine	64.0	Overall La Costa Perdida goes down easy--maybe a little too easy.
Kaleidoscope	Transatlantic	Pop/Rock	2014-01-28 00:00:00	Kerrang!	76.0	There's loads to admire here--but plenty to test your patience, too. [11 Jan 2014, p.54]
Pilot Talk III	Curren$y	Rap	2015-04-04 00:00:00	bossmanrwat11	78.0	Big Spitta fan here, but his remarkable consistency with the amount of work might hurt his case a tad with this  album. The production valueBig Spitta fan here, but his remarkable consistency with the amount of work might hurt his case a tad with this  album. The production value is on point as always, and gives the fans exactly what they would have expected in terms of a sound and a lyrical/content/vibe perspective. However because of this, there are no tracks that jump out at me on this project despite the overall great vibe and cohesive sound to it. Good project, but I've heard better from Mr. Andretti, and thus I have come to expect as such.&hellip;Full Review &raquo;
Black Mountain	Black Mountain	Indie	2005-01-18 00:00:00	Paste Magazine	65.0	Black Mountain indulges that old-school rock ’n’ roll craving.
Accelerate	R.E.M.	Rock	2008-04-01 00:00:00	ricco94	79.0	R.E.M. are back more powerful than ever! Finally they have returned to a rock sound, and it's great.Livin Well Is The Best Revenge is theR.E.M. are back more powerful than ever! Finally they have returned to a rock sound, and it's great.Livin Well Is The Best Revenge is the symbol of their rescue, probably the hardest song they have ever made, but the masterpiece is Supernatural Superserious. That's one of their greatest song and I love it.Michael Godlike Genius!&hellip;Full Review &raquo;
The Stoop	Little Jackie	R&B;	2008-07-08 00:00:00	Spin	72.0	Only in the fire-hydrant-ready title cut, where an around-the-way girl reminisces about bodegas in Bed-Stuy, does Coppola seem like more than a confessional folkie playing funky dress-up.
Hard Working Americans	Hard Working Americans	Country	2014-01-21 00:00:00	Uncut	72.0	The material forms a coherent, hard-hitting song cycle about blue-collar hard times. [Feb 2014, p.76]
Eagulls	Eagulls	Rock	2014-03-04 00:00:00	Magnet	74.0	It's hard to ignore that the arrangements feel like templates. [No. 107, p.55]
G I R L	Pharrell Williams	Pop/Rock	2014-03-03 00:00:00	The Line of Best Fit	67.0	If a long playing ode to the wonder of women was the driving concept behind G I R L, then of course, Williams has failed. If however, you want to hear an artist at the height of his popularity who’s all up in this place for a good time, then grab a hand and raise a cup (if you must), this G I R L will keep you entertained throughout.
Native To	Is Tropical	Electronic	2011-06-13 00:00:00	New Musical Express (NME)	57.0	Though Gary Barber's half-spoken, oh-so-London urchin coo brings a little quirk to proceedings, for the most part Native To is a pleasant but not memorable listen.
The Silver Lining	Soul Asylum	Rock	2006-07-11 00:00:00	Entertainment Weekly	55.0	The nostalgia train is stalled by embarrassing platitudes and well-worn riffs. [14 Jul 2006, p.79]
Django Django	Django Django	Pop/Rock	2012-01-30 00:00:00	The Fly (UK)	80.0	Smart guys, smart record.
Universal Mind Control	Common	Rap	2008-12-09 00:00:00	PopMatters	53.0	Pharrell and his Neptunes exert a svengali-like control over the record helping Common release his most contrived and banal album to date.
Wonderful, Glorious	Eels	Pop/Rock	2013-02-05 00:00:00	New Musical Express (NME)	76.0	From the moment ‘Bombs Away’ hoves menacingly into view, it’s clear this is Eels at their most visceral.
For The Recently Found Innocent	White Fence	Pop/Rock	2014-07-22 00:00:00	The 405	74.0	It pains me to overly criticise an album that may be quite enjoyable if you were born in the '70s and have only ever looked forward for your music, but there's no avoiding this particular White Fence could have done with a second coat to better hide what's beneath.
Fever To Tell	Yeah Yeah Yeahs	Rock	2003-04-29 00:00:00	Ricko	85.0	Good overall. It's got a handful of really cracking tunes on it, a couple of dreary numbers we could have done without and then it's got someGood overall. It's got a handful of really cracking tunes on it, a couple of dreary numbers we could have done without and then it's got some tracks that have a lot of noise and a some screechy vocals that do nothing for me. Worth listening through for the highlights though which for me are Rich, Maps and Y Control&hellip;Full Review &raquo;
The Grind Date	De La Soul	Rap	2004-10-05 00:00:00	AllMusic	80.0	Without a concept to tout, The Grind Date doesn't gel like AOI: Bionix, but it does show De La Soul keeping everything together more than 15 years after their debut.
Beautifulgarbage	Garbage	Rock	2001-10-02 00:00:00	Entertainment Weekly	69.0	If you didn't know better, you'd think you were listening to a compilation, not a band album.
Becoming A Jackal	Villagers	Indie	2010-06-08 00:00:00	Dusted Magazine	78.0	If you set aside some uninspired, cryptic-as-poetic moody fantasy lyrics (and a few forgettable songs truly as slight as whispers), Becoming a Jackal reveals a hidden stash of imminently memorable melodies.
SBTRKT	SBTRKT	Electronic	2011-06-28 00:00:00	New Musical Express (NME)	76.0	What these tracks are, though, are lovingly programmed, laser-dappled, preening--thanks to Sampha's buttery soul voice--and glossy reduxes of late-'90s two-step and twitchy post-house that should be filed next to James Blake and Jamie Woon.
Tentacles	Crystal Antlers	Indie	2009-04-07 00:00:00	No Ripcord	71.0	The Crystal Antlers’ debut is a flesh-fattened cloud prowler emanating a strange, jilted tenderness, a record whose devastating expressive weight is amplified, not obscured, by its deranged, frayed-edge make-up.
Party Intellectuals	Marc Ribot's Ceramic Dog	Rock	2008-06-24 00:00:00	The Boston Phoenix	80.0	Humor, melody, and weirdness rule, and that makes Ceramic Dog lighter than both Ribot’s Los Cubanos Postizos Afro-Cuban band and his aggro-noise outfit Shrek.
Book Burner	Pig Destroyer	Pop/Rock	2012-10-22 00:00:00	Slant Magazine	86.0	Book Burner is defiantly hideous and if you love it, you love it for its ugliness or not at all.
Do It Again	Röyksopp	Pop	2014-05-26 00:00:00	NOW Magazine	76.0	It’s the middle songs that are most immediately enjoyable.
S.T.R.E.E.T. D.A.D.	Out Hud	Indie	2002-11-19 00:00:00	Junkmedia	84.0	"When the compositions behind the words are as dull and lifeless as the album's core (""This Bum's Paid"" and ""Hair Dude, You're Stepping on my Mystique"") the results are utterly disastrous, relying too heavily on tried dissonance over unimpressively staid tempos."
Colour of the Trap	Miles Kane	Pop/Rock	2011-05-09 00:00:00	BBC Music	73.0	Colour of the Trap, impressive an achievement as it is, is begging for diminishing returns.
An Argument with Myself [EP]	Jens Lekman	Pop/Rock	2011-09-19 00:00:00	AllMusic	75.0	Entertaining castoffs, but not his best work by far.
Sing to the Moon	Laura Mvula	Pop/Rock	2013-05-14 00:00:00	Under The Radar	73.0	"The formula that made ""She"" a success is replicated until it's been wrung dry of any emotion. [Jun-Jul 2013, p.94]"
Descended Like Vultures	Rogue Wave	Indie	2005-10-25 00:00:00	Entertainment Weekly	72.0	Rogue's high, gentle vocals and halcyon harmonies mask lyrics that are occasionally dark and cynical--but never mushy. [28 Oct 2005, p.87]
Open	Cowboy Junkies	Rock	2001-05-15 00:00:00	Q Magazine	66.0	Dark and knotty, Open takes a while to win you over but when it does, it hangs around in your head like an unpaid debt.
Cut the World [Live]	Antony and the Johnsons	Pop/Rock	2012-08-07 00:00:00	The A.V. Club	82.0	The 12 tracks place Antony in an exposed and elegant state: away from the studio, under the lights of a concert hall, and engulfed in harmonies. On that stage, he soars.
Wu-Massacre	Meth-Ghost-Rae	Rap	2010-03-30 00:00:00	cokemachineglow	73.0	Cuban Linx 2 was a glorious mess, but Wu-Massacre throws so many punches I feel at times like I’m listening to a promotional album sampler for some amazing full-length to be released later in the year.
Jeff Bridges	Jeff Bridges	Country	2011-08-16 00:00:00	The Boston Phoenix	65.0	Bridges has talented friends and mentors who help bring out the best in him, which is surprisingly good.
