id,album,title,score,content
29,69,The Knee-Bone's Connected to the... something,0.8,The newest album from Aborted continues in the same vein as its predecessor| moving towards a pleasing fusion of melodic death metal and the brutal goregrind of their earlier albums. The resulting concoction reaches its zenith here| heavy enough to satisfy long-time fans and without the frightening brain-hammering that would put off queasier newcomers. This Belgian band’s transition from gore-obsessed noise to something more musically accomplished and traditional follows directly in the bloodied footsteps of the disbanded Liverpool band Carcass over ten years earlier| and the inspiration is fully acknowledged through a guest performance by Carcass’ Jeff Walker on two songs| allowing Aborted complete freedom to rip his band’s sound off almost completely.‘Slaughter and Apparatus: A Methodical Overture’ is more than a simple ‘Heartwork’ clone| though the sonic similarities (right down to some identical sounding riffs) make it a fitting modern-day tribute| depressingly showing just how little progress has been made since that definitive and massively influential 1994 opus. Aborted’s take is naturally heavier| as the band’s departure from a purer strain of brutal death metal hasn’t taken away the edge they possess over the hordes of poor imitators| complete with tediously shocking subject matter. Aborted’s own niche has always been its thematic focus on surgical abominations and malpractice| but this gimmick is noticeably less present here than it was a few years back when each song title competed with the last in the vomit-inducing stakes. There’s an obvious degree of maturity here that finally catches up to the band’s technical skill| and the fresh blood of relentless session drummer David Haley keeps the energy level consistently high throughout its exhausting forty-two minutes| the band’s longest album to date.1. The Chondrin Enigma2. A Methodical Overture3. Avenious4. The Spaying Séance5. And Carnage Basked in its Ebullience6. The Foul Nucleus of Resurrection7. Archetype8. Ingenuity in Genocide9. Odious Emanation10. Prolific Murder Contrivance11. Underneath Rorulent SoilAs a sign of the greater focus on musicianship over cheap shocks and competitive heaviness for heaviness’ sake| gone are the overlong film snippets and voice samples that used to dominate the early parts of songs| restricted to a couple of brief introductory samples at key points. The album builds up anticipation with some nice distortion and American news broadcasts about something or other before the band lets rip. Haley’s drumming is extremely prominent| which can actually become a little irritating in its repetitiveness at times; although he makes excellent use of the bass pedals to provide a spine for the album’s rhythms| his frequent skin assaults (it’s hard to describe this band without slipping into medical terminology) conjure the image of a bloke beating the hell out of some metal bins| which isn’t really to my taste and is a little horrifyingly reminiscent of Metallica’s last album. Nevertheless| the production job is flawless| providing a great depth and volume that’s necessary to get across the full power of the band| and their roots in technical death keep the guitars of Matty Dupont and Seb Purulator (not his real name) a focal point that speeds through multiple interesting and organic changes each minute without spiralling into excessive fret masturbation. Most songs feature some impressive lead sections that bring the Carcass influence to the forefront| and a few feature some highly enjoyable solos in the classic style| as opposed to the squealing discordance practiced by most death metal outfits.Vocalist Sven de Caluwe is one of the more impressive in his field| here alternating between a standard gurgling grunt and a more aggressive yell that comes across sounding a lot like In Flames’ Anders Fridén| especially when the silly electronic distortion is added in track eight. Sven fortunately avoids any kind of metalcore ‘clean’ vocals that would really rob the album of its ferocity and spoil even its less brutal moments| but even the move on from a permanent grunting style ought to annoy some purists. While some songs stick to the older wall-of-sound style fairly rigidly| such as the second track and some of the even stronger pieces towards the end| most are eager to try something new| even if Carcass and Arch Enemy had already been there long before. ‘Avenious’ is the first to venture into truly melodic territory| leaving much of the brutality behind in favour of blending aggression with pleasantly high guitars| and as usual I much prefer these slightly slower| more thought-out pieces to the often mindless brain-crushing riffs of the shorter songs. The album makes excessive and distinctly odd use of fade-outs for around half of the songs| some of which are improved by the drawn-out conclusion| and others of which could just as easily have ground to a halt before getting on with the next. The greater focus on crafting intricate songs also works to keep the album entertaining throughout| only really failing with the very last track which seems to drag on for the last couple of minutes and run out of steam| which makes for a bit of an anticlimax.‘Slaughter and Apparatus’ sees Aborted continuing to claw their way out of the niche they very effectively formed with their cultish early albums| aiming for a wider audience that would greatly enjoy this continuing change of direction for the band. There are enough groove-driven riffs to make it appealing to even the most brain-dead Pantera fan| and it successfully flirts around the spiteful metalcore trend without selling its soul. Hopefully| angry kids will start listening to this sort of music instead| allowing those fallen melodic death bands to come back from the dark side| and making everyone a lot happier. As expected| it’s near impossible to discern what Sven is growling about in these eleven songs| only really becoming intelligible when he yells| but whatever the hell he’s angry about| it’s impossible not to concur with him wholeheartedly.
30,69,Aborted - Slaughter & Apparatus: A Methodical Over,0.89,The new Aborted had been announced as the kick ass killer release of 2007| and many people including me didn't actually know what to expect. Since 'Goremageddon: The Saw and the Carnage Done' in 2003 I have always been expecting a follow up to that one| and The Archaic Abattoir in 2005 was something of a big change in the music of the band. As 'Goremageddon' was an ultra brutal version of Carcass' 'Heartwork' (and hell yeah| I love that release as much as 'Heartwork' itself)| so was 'The Archaic Abattoir' a new approach from Sven De Caluwe and Co. They simply went with the time| and it seems they evolved their style from just hammering and battering to musicianship that would make most Brutal Death Metal bands jealous.And now most bands should be jealous as aborted released 'Slaughter & Apparatus: A Methodical Overture'. The title is almost as long as the 2003 release'| and the concept is almost the same - murder| pathology| surgery and sickness in general. But the music has new elements| new ways of being a way to destroy your senses and ears. Aborted attack now from a totally different angle. They now use melodies more frequent and still combine them with a massive wall of sound. It's as if you were banging your head against a thick wall of concrete and your head was left just a mass of pulp and blood. Some of the solos remind me of 'Goremageddon'| but it's almost as if a new core was formed in the band. It may be mostly to the replacing of the bassist and drummer. Psycroptic's David Haley did the drums for this effort| and he did a hellova job. His drum work this time was a real surprise to me| as I expected him to just do the same he does in Psycroptic| but he has done his job as if he was a full member of Aborted. Sadly| this was just session work| and Aborted are still looking for a full time drummer. The best way to describe 'Slaughter & Apparatus: A Methodical Overture' is as a hybrid of 'Goremageddon' and 'The Archaic Abattoir'| but a better 'Abbatoir' this time| and a more melodic 'Goremageddon'. This now is also the longest effort of aborted to date. The 43 minutes of play show that the band spent much time in generating great arrangements and creating the best possible music since the forming in 1995. While some folks enjoy more the brutal period of this band| 'The Purity of Perversion' and 'Engineering the Dead'| it's no secret that this band gained a huge following with their now more melodic and Carcass-like Death Metal. And now they will gain fame with this release. Aborted succeed to impress| and you should be highly impressed.
31,69,Good-time brutality,0.8,When I bought this I was being told by everyone that it was second rate beside Goremageddon. I have barely heard that album| so I guess you could say I went in with a clear head.Slaughter & Apparatus is brutal| plain and simple. It delivers exactly what I want from Aborted. The catchy grind grooves sound very refreshing to me in a scene full of technical-for-technicality’s-sake death-core bands.The production here is heavy as hell. I’ve read a few reviews that saw Tue Madsen did a too “clinical” job. The guitars may be a little on the modern side| meaning that they’ve sacrificed mid range and crunch for low end heft. The drums are also a little low| most likely due to the fact that (I believe) the drummer on this was a temporary hired gun. But all in all| the mood set by this sound is dark and disturbing| and it matches Aborted and this album quite well.The only real bone I have to pick with Aborted on this one is the lyrical delivery: they often write lines that don’t quite fit with their vocal parts| so they either squash or cut off the words. It’s annoying for that one time you actually read along| but after that it’s really no big issue. There are actually some catchy lines in there| and contrary to a lot of people| I really like the shouted vocals that counterpoint the guttural ones.I wouldn’t recommend this if you only have money for one album| because in the end it isn’t that memorable| but it’s damn heavy and it’s damn fun. To listen to while playing video games| working out| or performing surgery.
32,69,Still Going Strong!,0.9,"Belgium's finest death metal band| Aborted| have released yet another excellent album. ""Slaughter and Apparatus"" is the fifth album they have put out so far| and it shows that the band is still improving their sound. They may not be the deathgrind that they used to be when they kicked off their career| but even with a change of sound overtime| they prove themselves to be strong and dedicated. This band displays some of the finest musicman ship on this album. First off| the drumming is excellent| even if the drummer isn't a part of the band. Psycroptic drummer David Haley goes behind the kit and just blasts like crazy| but not on complete overdose. Also| Sven's vocal range is what makes this band so special. Whether it's a low-pitch guttural style| or his higher pitched shouting vocals| you can't deny that this man is a genius when it comes to vocalists. The guitar melodies are still excellent as ever| and they still mix in the melodeath style with the crushing deathgrind riffs in the vein of Carcass. Oh| and speaking of Carcass| Jeff Walker makes an appearance on the track ""Odious Emanation""| so those that miss Carcass can know that Walker still does his thing excellent. If you are looking for an album with crushing riffs| loads of melody| excellent vocal range| and some of the finest drumming| ""Slaughter and Apparatus"" is the album for you."
33,70,A brilliant release,0.95,"Another album in Aborted discography can safely be called ""the masterpiece"". It is simply great| without a doubt. Brilliant recording| which is hard to find on the scene. Albums recorded with such passion and flair you want to listen always and everywhere ...On the ""Strychnine.213"" Aborted showed us a lot of courage. The courage to do something new. Apparently| there are plenty things in common with their previous works| but at the same time there are many new elements| which were hard to expect. There's a difference between recording once again similar sounding album and taking up the challenge| and entering new| so far unexplored territories. I do not claim Aborted copied themselves on their previous albums| but the fact is - even though the systematic improvement of their style - their albums were more or less predictable. With ""Strychnine.213"" it is quite different.The opening intro (""Carrion"") announces something new. It is well known that an explosion of brutal sounds will occur in a moment| but in the background echoes something unusual - a melody. It is still brutal| we still have to deal with typical Aborted tracks filled with a lot of technique| but this time the melody| not aggression| is the main point of music - the eye of the storm| which is trying to overwhelm the furious attacks.You can blame Aborted for getting a bit relented on this album| you can. But your complaint will be groundless| as musically it is still brutal and powerful| though accompanied by a melody. So what? If you don't like it| you can switch to ultra brutal releases from Unmatched Brutality or Bones Brigade. ""Strychnine.213"" had to sound like that. That album wasn't recorded ""by accident""| everything in here is carefully planned and recorded with special care and absolute perfection.You don't write about brilliant albums| you simply listen to them. That's why I will drown in this ""sea of pleasure"" for the x-th time. I must add - for ""Pestiferous Subterfuge"" Belgians deserve every musical award. With this track they moved the border of genius into areas unreachable for a common mortal. Well| gentlemen - keep up the great work! I want it more!!!(This review| written by me| was originally published in Metal Mundus webzine in Polish language - now translated into English)."
34,70,Depressing,0.05,At the point before hearing this album| I thought Aborted were untouchable. A band that could do no wrong. The 3 albums that preceded this were perfect| as was the EP that followed it. But this shall forever be a black mark on Aborted's legacy for me.This album feels sloppy| boring and seemingly like no effort went into it. Like the band made this album because they had to and didn't take it seriously. Everything on it sounds rushed or not rushed enough. Svencho sounds tired and like he's not giving it his all in the vocal department. The riffs are lazy death metal chuggers. The drums are perhaps the only thing played decently| but they're still terrible in comparison to other efforts.If i'm wrong| and Aborted did indeed try on this album| then i'm very disappointed. If they were trying| they were pandering to the new deathcore crowd rather than their old school brutal death-head fans. This record probably has the most breakdowns out of any Aborted record| and sadly| they aren't the varied technical breakdowns of before. These are lazy chugfests that wouldn't be out of place in a Suffokate song.Really| this is either Aborted not giving a fuck about the album or this Aborted trying to make some money with a bit of commercial appeal. Avoid this unless you consider yourself a fan. Maybe you'll get some enjoyment out of it unlike myself| but I highly doubt it.
35,70,WHA HAPPENED!?,0.3,I'm one of the few who actually supported Aborted's move to a more mainstream| melodic| metalcore-influenced sound with 'The Archaic Abattoir'. While many considered it selling out| I thought the band finally hit their stride with that album| blending extreme and mainstream styles of death metal in a wonderfully catchy and infectious way. That being said| there's literally nothing I can do to justify 'Strychnine.213'. This is possibly Aborted's worst album to date| managing to have a thousand musical ideas that never go anywhere| haphazard| aimless songwriting| and incredible amounts of repetition throughout the album's (thankfully short) running time. I don't know what the hell happened here| but Aborted have badly fallen off track with this release.Aborted's sense of riffcraft and songwriting has been pretty industrialized at this point in their career: a blend of slightly more melodic than usual death/grind tremolo against fairly oldschool| slow death metal riffs and periodic forays into metalcore breakdowns or US-style melodeath riffing. The combination makes for a really varied and engaging texture. On 'Strychnine.213'| however| it seems the band decided to just throw all those elements in a pot together and stir until it became an indistinguishable mess. The tracks seem predominantly midpaced| but not particularly heavy or sludgy- they're just filled with go-nowhere riffs which feature a completely bizarre hint of Zakk Wylde-style southern rock. Not to say they do any better when they speed things up; the tremolo riffs tend to be rather randomly arranged| and the almost omnipresent cock-rock soloing is hideously overwrought and does nothing but detach the listener ever more from the album. Sven's vocals sound tired| haggard| and phoned-in| and despite the blast beats and low guitar tuning| the band just sounds incredibly unenthusiastic about what they're playing. Given the quality of the material| I can understand it.Another problem is that the flow of the album seems to get broken constantly| be it by the same bland Charles Manson sample we've all heard a thousand times before| an inappropriate clean guitar interlude| or just one of the hundred obnoxious solos that dot the disc like flies on a rotting orange. The music has no real sense of motion or drive behind it- when a song ends| you're not really in a different place from where it began| and it's honestly very difficult to tell when a track changes unless you're paying a great deal of attention. The album just seems to go by in a blur and the band doesn't seem very concerned with making each (or any) of the tracks unique and interesting. It's just almost forty minutes of the band playing what amounts to the same song over and over again| excising all the things that made Aborted a great band before and replacing it with pure filler.This is a pretty dire record and I'm hoping this was just a fluke. Aborted have proven themselves to be a strong band in the past| so I'll give them the benefit of the doubt and assume that this is their one big mistake that I can give a pass to. Still| that doesn't make this album any better| and you definitely shouldn't pick it up if you demand anything from your music at all. Basically worthless.
36,70,I'm afraid I misunderstand?,0.95,"Perhaps I am missing something| but don't entirely understand why Strychnine.213 gets so much shit from the metal community. I love it| as a matter-of-fact| its my second favorite Aborted album to date. Now before the shit starts to fly| my first favorite Aborted album is Goremageddon: The Saw & Carnage Done| a choice which many Aborted fans would agree with. But why do I enjoy Strychnine so much? Because its something new.I enjoy the senseless brutality and mind-boggling speed of this kind of music just as much as anyone else| but this is Aborted's 6th studio album| and who wants to hear the same recycled formula over and over again? The presence of melody on this album| in my mind| is Aborted's way of staying relevant. Let's not pretend here| brutal death metal is a fairly limited genre. And when you've lasted as long as Aborted has lasted| members changes and all| you're going to run out of ideas eventually. If you don't like the new sound of Aborted| that's your preference| but don't bash them. They're just exploring new territory. If you were in the band| you'd probably not want to play the same chug-chug riffs over and over again| album after album. Hell| they lost a guitar player over that very issue!The new direction isn't a sign of their sound being dulled down; they still remain extremely brutal. They've simply combined they're brutality with something new. Take ""I35"" for example. It retains the blistering speed from past albums| but they also added more melodic guitar leads| and it makes the song more interesting| without butchering the flow of it. In my opinion| what Aborted fans SHOULD be saying| instead of ""wow| they sure have lost they're touch""| is ""wow| they've really found a way to be creative!""To this long-time fan of all things brutal| the sound of Strychnine.213 was a risk that Aborted took after over 10 years of creating some of the most devastatingly brutal music in the death/grind genre| and I think its a risk they should be rewarded for."
37,70,Something's missing.,0.45,Strychnine.213 is probably the weakest album of Aborted’s discography. Released less than two years after their last effort| the rushed nature seems to show through. Whether this was the fault of the band themselves or their record company wanting them to release something else quickly is still a mystery. At any rate| this is what has been produced and it’s not as good.I’ve liked all of their releases to some degree| for different reasons. While this album is still Aborted| it doesn’t give us a reason to come back| and not listen to their other albums. I mean| think of it: The goregrind of The Purity Of Perversion? Gone. The brutality and speed of Goremageddon? Gone. The catchy groove of The Archaic Abattoir? Gone. This is a very substandard concoction of seemingly throwaway riffs and melodic leads (way more melodic than any other release…the beginning of “A Murmur In Decrepit Wits” for example)| all wrapped in a production too clean for it’s own good. I have no problem with clean production| but this particular production| with the music itself| seems to have no lasting power. There are barely any riffs or sections of the music that you will want to remember because they are all so…well| I hesitate to use the word “bad”| because they’re not bad at all. “Mediocre” is more like it.Still| this album can still be enjoyed somewhat. It’s still undoubtedly Aborted| and some fans will be able to see some good in it. “The Chyme Congeries” is not such a bad song| and keeps my interest throughout. Perhaps what makes this song more enjoyable than most of the others on this album is the fact that there are NO melodic leads anywhere. When Aborted go back to just writing brutal songs| I feel it works better for them. I mean| the follow-up| “A Murmur In Decrepit Wits”| is much| much more melodic| and not surprisingly| it’s not as good.Funny enough| the most brutal song on here has to be the Pantera cover of “Slaughtered”. While I’m not familiar with the original| Aborted’s version sounds very heavy| and all the songs on here should’ve been as intense as that.The band members are still as competent here as they have been at any other release. I don’t see any reason to bash their playing abilities| because they can all still accomplish their respective roles in the band. I could even go as far as to say they’re getting better as time goes on| but that doesn’t mean they play better riffs| of course.Weighing up the good and bad points of this album| there are many more bad points than good| and as such| this album will be classed as Aborted’s worst. I can see how it’s good enough for others| but for me| there is just something missing in the music| and it’s much too noticeable. If you’ve never heard Aborted| this is definitely not where you should begin. Here’s hoping they can do a little better on their next album.
38,70,It works for me.,0.8,"Aborted has gone through many a change throughout their careers. They started off as a very brutal five-piece. Then they experimented and went through many trials and tribulations. They eventually started moving over to a more melodic side of death metal. Now fast forward to today. Almost completely gone is the brutal aspect of this Belgian outfit and in comes melody and some hints of technicality. I guess you can call it a melodic technical death metal outfit for the time being.The guitars on this album do their job. Sure you have the chugs and the breakdowns| but does that really constitute them becoming a deathcore band? Absolutely not. The guitars provide intricate melody and good technical parts where fitting. The riffs put forth on this album are very different from what we're used to from Aborted| but it still works. The guitar solos also never fail to intrigue from this band| as expected. They have moved on from the straightforward one-dimensionality of brutal death metal and decided to create a more relaxed| for lack of a better word| atmosphere and a greater depth to their riffs. It would seem that Aborted's guitarists wanted to push the experimental nature of the band to a completely new level| and succeeded in doing so.The drummer does a good job in making the album stay interesting. He changes up just in time to keep the listener in suspense and wondering what's next. The drums fills in this album are well done| but my problem is that they are recycled into other songs. I found myself saying| ""Hey| didn't I hear that a song or two ago?""| quite a few times. Luckily| the drums were not at the forefront of the album| constantly suffocated by the vocals and guitars| so the drums did not pose a big problem for me.Sven never fails in his vocal duties to this band. He has a pretty good range of vocals on this album| from a gurgling scream| to a high pitched shriek| not unlike a black metal vocalist. He has really gained a good range over the years. His addition to this band is truly priceless| as he is a unique vocalist. Without him| there would never be Aborted. His ability to speed up his vocals and then slow them down is impressive as well.In conclusion| this record is a good addition to the already great discography of Aborted. They have pushed the bounds of experimentation and put out a good melodic/technical death metal album. Going in a completely different direction than previous albums| they may have alienated some fans on this album because of the lack of brutal overtones. But what those fans fail to realize is that Aborted has matured. They decided to not stick to the same old formula. While it's not their best album| it is a very solid album. I would recommend it to anyone ho is willing to listen to something new| and to Aborted fans who are willing to shed all past judgements of them and prepare for something completely new."
39,70,Brutal enough for SINCERE listener!,0.9,I don’t think that anyone serious about music could say that Aborted once were good band| and nowadays they are just trendy or whatever. But many people “into Death Metal” say that kind of stuff. You know what? You have to be crazy| or totally uninterested| or a true hater to say something stupid like that.Aborted once presented one of the most brutal bands on the scene. So what? Now they are brutal and interesting| creative| original| exciting band. And that is happening from “Goremageddon...” till today. Last year they released something really wild| that insane “Slaughter...” album| and a year and something after they bring us logical continuation with “Strychnine.213”. And I can tell you; this is one hell of an album. “Strychnine.213” sounds really| really good – maybe not “brutal” enough| maybe not by-recipe enough| maybe not progressive or whatever enough| but be sure that you will hear some very decent Death Metal| unpretentiously speaking. Just listen.Haters| you should be realistic about Aborted – it’s not the same band anymore| physically. Singer Sven is original member; other guys are here from year 2005/06/07| so line-up is relatively fresh| like the sound. On the other hand| it’s not the same band musically| so don’t criticize them from a “goredeathgrind-is-only-good-music” point of view. That is very infantile.Anyway| what we got here is Brutal/Groovy/MeloDeath/Death’n’Roll album; perfect and insane riffing| raging perfectly played drums| and| off course| very aggressive and guttural vocals| with time-to-time screams; but I would say| it’s DEATH METAL| no more or less. Rarely nice created and played. I wouldn’t even bother mentioning one or two best songs| it’s simply good DM madness. Nearly perfect.
40,70,Cobbled-Up Carcass,0.4,I’m surprised something like this doesn’t happen more often - a certain band member leaves| and the rest of the band is unable to recapture the essential sound. That’s exactly what happened to Aborted| which basically turns “Strychnine.213” into cobbled-up bits of death metal| melodic death metal and death rock| except none of the pieces flow together| they’re just stuck together like bits of uninspired generic tedium.Sure it’s an attempt to basically pull Carcass together from their gore/grind| melodic death metal and death rock eras all together on one album| but “Heartwork” has proven to be one of the hardest melodic death metal bands to rip off| meaning anything related to melodic death metal on “Strychnine.213” comes through like the 4th recycling of harmonies from Sweden.Everything is trodden down in a muddy morass of low-end production| loose drumming| snares comes close to clicks| and Sven de Caluwe’s slurred low growls. His vocals could be a high point| as he has a wonderful deep growl| accented by piercing screams| all he needs to do is pronounce the lyrics (yes| that’s an important skill| even in death metal!)The end result is like throwing several puzzles together| forcing the pieces together| then giving up and using white school glue.Originally posted at www.waytooloud.com
41,71,Warning: destroys worlds,0.89,Aborted is certainly my favorite grind-related death metal band by far| and this album is a perfect example why they are the kings of their workplace. Every album of theirs is just so fun and exciting to listen to| no matter what kind of mood you're in| it just makes your blood pressure rise; you cannot listen to this without moving yourself in some sort of way| guaranteed. The guitars are perfectly tuned and go through a medley of sound changes throughout| from extremely high harmonic parts| to destructive| earth-shaking lows. There are several solos all over the album and none sound reminiscent of another; they all are creatively built and are never shoehorned where they shouldn't be. The drums are ridiculously fast| and certainly set the pace for the other members. The blasts and double strokes are out of this world fast| and sonically sound huge| with no complaints sound-wise. One thing that makes the drum work so great on this| is that Ken can do the fast stuff| but never plays fast when it's not needed. That's one of my biggest gripes with drummers is that they show off whenever they can and ruin the mood and tempo of the songs| needless to say he keeps himself under control. The bass is very audible and one of my favorite things about the album are the bass drops. Bass drops are hit or miss because most bands overuse them to the point of irrelevance| but these are not speaker destroying drops| just something to spice up the brew of seasoned organs. Now to get to one of my bigger gripes of the album: the vocals. The lower style vocals are seemingly layered into oblivion and kind of get on my nerves after a minute or two of just them| but Sven's high to mid range vocals came back to save the day. I would certainly not mind if the entire album were just Sven's unedited vocals| but that's just me. The song structures are all over the place in terms of variety. Every speed of song you can imagine is on this album| from mind bendingly fast to slower| drowsy| dissonant distortions and this is how every song on this is so special and different. No instrument overpowers another| which is almost unheard of in any genre| and all of them sync up into one hulking mass of destruction. This is strange to say but this album is very cinematic and epic for what genre it is: there are numerous sound clips of various lengths and subject matter strewn throughout| and they add a boatload of value and depth to the song structure. Most of the songs are relatively short but what Aborted does better than almost anyone| is make their songs sound longer with just how much content is being put forth; there are so many timing changes and interludes that 3 minute songs sound 5 minutes long in contrast. Perhaps my favorite part of the album is how sincerely smooth each song changes from one another. It is done in such a way where you can tell it is a new song| due to tempo and some tuning| but there is literally no awkward void of silence between tracks| and I think all bands should adopt this philosophy. The album ends with an epic| 6:30 minute song that is a perfect closer to the vanilla album| and then the bonus track kicks in| which is basically someone icing the proverbial cake at 200mph. Overall| this album just freaking rules. Everything about it is awesome and I can make a bold statement that everyone who likes or loves death metal will enjoy this unconditionally. Go buy if if you haven't already| the bonus track is almost worth the price of entry alone.Favorite tracks: The Origin of Disease| Vermicular| Obscene| Obese| Grime and the title track.
42,71,Ferocious and melodically devastating,0.94,Belgian brutal gore/grinders Aborted have returned after a surprisingly decent album to offer up a new album that not only returns focus back to the extreme side of their patented sound| but does so with a severity and intent to maim that makes this one of their very best works overall.The extremity is heard almost immediately as the rapid fire beating undertaken on the first proper two songs| the title track and the outright vicious ‘Origin of Disease’| showcase a band that is back to undertaking its malicious aims through a combination of razorwire-riffing and infectious intrusions of melody| as the two songs display a remarkable ability to maintain a vicious edge| yet keep the material memorable and well-written. Other blasts of brutality are apparent in scorchers ‘Coronary Reconstruction’ and ‘Grime’| which features a duet with Jason Netherton of Misery Index that might rank as the most intense track the band as a whole has ever recorded. Other stand-out tracks include the rather catchy ‘From a Tepid Whiff’ that features one of the better written lead sections on the album to the outright memorable ‘Of Scabs and Boils’| perhaps as hard-hitting and punishing as any other track with its frantic blasts of grind whirling around at ultra-velocity that makes for a totally damaging section on the whole album.Beyond the brutality| what makes the album work as a whole is the seamless meshing between the insanity and expertly-controlled chaos of their earlier works with the infusion of melodic passages that were introduced more recently. ‘Vermicular| Obscene| Obese’ is the most accomplished of these types of tracks on the album| effortlessly switching from murderous mayhem to almost harmonic riffs with a bit of groove thrown into the mix that is delectable and highly memorable. Also of note is ‘Expurgation Euphoria’| which begins with an eerie piano intro that soon gives way to a simply memorable riff that showcases the band’s ability as songwriters and performers that have come a long| long way from the very beginning.All of this is fine and well if you’re into this brutal genre of music| though to some this may sound like a cacophony of noise and inhuman grunting over the top of it. That’s far from the truth| but that impression can be given off since this does tend to run into each other when it gets to the back half of the album| and the obsession with surgeries-gone-wrong can get old pretty quickly. It’s more than just a bunch of noise| though| and those that give this one a chance will find it to be plenty worthwhile and more than adequate death metal album.
43,71,Refreshing & Punishing.,1.0,"The mid 90's. A period which spawned forth an overwhelming amount of death metal/grindcore bands for the world to indulge upon. Somewhere in the frenzied mix| Aborted sprouted from the grounds of Belgium like a zombified| bloodied| disfigured| beautiful corpse. As far to chaos that music waves can reach| Aborted have been a primitive group to extreme music. Though slipping a tad off the positive radar with the release of Strychnine.213 in 2008| Aborted have recollected the weapons they kill best with. Resharpened| resuscitated| and ready to begin a slaughtering spree| the creation of Global Flatline may very well be the best extreme release of 2012. Something incredible must be in those Belgian waffles. Unlike previous albums Aborted have put out| they now combine a strange and efficiently creepy use of ambient noises. ""Omega Mortis"" softly pours in| and instantly a pummeling thud crushes all hope of sanity. The post-apocalyptic feel to the intro literally poisons you. A pulse monitor carries the brief period of silence into the guillotine. This is 43:30 minutes of pure warfare. Most recognizable| is that every track is respectively different than the next. This isn't some hyped up death metal album that sounds all the same through out. Aborted have cast the die and won the most treasurous prize out there - ORIGINALITY. Their coined melodic solos make a return and shine| if not blind| excellently out of the 13 tracks (especially ""Endstille"" & ""Fecal Forgery""). There is just something about Sven's vocals that provide such intensity & furiosity to your day. He's grotesquely raw| vile and unique. The patterns of vocals exquisitely invite other such talents as Jason Netherton (Misery Index)| and Keijo Niinimaa (Rotten Sound). It all matches the instruments so bloody well. Forget straight forward psychotics| this album is also coated with groove. Tracks like ""Of Scabs and Boils"" (using much different guitar riffing patterns of previous Aborted works) and ""Grime"" (pulling hardcorish riffs| meshed into a pure grindy holocaust). The songwriting is absolutely brilliant and there is no doubt in my mind that a riff or two will be stuck in your head for weeks. Last but not least - Ken Bedene. Where the hell did they find this guy? He literally tears into his drum set like a ravenous lion gorging on a torn open zebra. It's psychotic| precise| and mind blowing. Drum fills & speeds that clench one big mighty fist to fuck the planet with. As the final track| ""Endstille""| begins| it leaves you with one ugly feeling. You either get goosebumps from the haunting radio clips & dissonant riffing| or you want to blanket yourself with razors and embrace the end. The ending notes & world famous speech by J. Robert Oppenheimer lets you go as if you were overlooking a destroyed city from a mountaintop. Smoldering rubble and clouds of black smoke. Which is just what this album does - FUCKING DESTROY. Let it spin and enjoy the best release metal has to offer for the year of 2012."
